root@vmi3256829:~/nukhba/Attached-Assets# docker exec -it attached-assets-db-1 psql -U nukhba_user -d nukhba -c "\dt"
                        List of relations
 Schema |               Name               | Type  |    Owner   
--------+----------------------------------+-------+-------------
 public | activation_cards                 | table | nukhba_user
 public | activity_events                  | table | nukhba_user
 public | admin_alerts                     | table | nukhba_user
 public | admin_knowledge_modules          | table | nukhba_user
 public | admin_module_level_files         | table | nukhba_user
 public | ai_teacher_messages              | table | nukhba_user
 public | ai_teacher_provider_settings     | table | nukhba_user
 public | ai_usage_events                  | table | nukhba_user
 public | audit_logs                       | table | nukhba_user
 public | book_unit_images                 | table | nukhba_user
 public | book_units                       | table | nukhba_user
 public | cached_lessons                   | table | nukhba_user
 public | conversations                    | table | nukhba_user
 public | course_material_blobs            | table | nukhba_user
 public | course_materials                 | table | nukhba_user
 public | discount_code_redemptions        | table | nukhba_user
 public | discount_codes                   | table | nukhba_user
 public | exchange_rates                   | table | nukhba_user
 public | gem_ledger                       | table | nukhba_user
 public | lab_reports                      | table | nukhba_user
 public | learning_paths                   | table | nukhba_user
 public | lesson_summaries                 | table | nukhba_user
 public | lesson_views                     | table | nukhba_user
 public | material_chapter_progress        | table | nukhba_user
 public | material_chunks                  | table | nukhba_user
 public | material_page_status             | table | nukhba_user
 public | messages                         | table | nukhba_user
 public | payment_settings                 | table | nukhba_user
 public | plan_prices                      | table | nukhba_user
 public | quiz_attempts                    | table | nukhba_user
 public | referral_reward_allocations      | table | nukhba_user
 public | referral_reward_pools            | table | nukhba_user
 public | referrals                        | table | nukhba_user
 public | student_gem_wallets              | table | nukhba_user
 public | student_mistakes                 | table | nukhba_user
 public | student_module_levels            | table | nukhba_user
 public | student_rag_sessions             | table | nukhba_user
 public | student_welcome_gift_allocations | table | nukhba_user
 public | student_welcome_gifts            | table | nukhba_user
 public | study_cards                      | table | nukhba_user
 public | subscription_requests            | table | nukhba_user
 public | support_messages                 | table | nukhba_user
 public | teacher_feedback                 | table | nukhba_user
 public | teacher_image_manifest           | table | nukhba_user
 public | user_progress                    | table | nukhba_user
 public | user_subject_first_lessons       | table | nukhba_user
 public | user_subject_plans               | table | nukhba_user
 public | user_subject_subscriptions       | table | nukhba_user
 public | user_subject_teaching_modes      | table | nukhba_user
 public | users                            | table | nukhba_user
 public | v4_booklet_chunks                | table | nukhba_user
 public | v4_concept_drills                | table | nukhba_user
 public | v4_concept_facets                | table | nukhba_user
 public | v4_concept_hands_on              | table | nukhba_user
 public | v4_concept_mastery               | table | nukhba_user
 public | v4_diagnostic_sessions           | table | nukhba_user
 public | v4_exam_attempts                 | table | nukhba_user
 public | v4_exam_questions                | table | nukhba_user
 public | v4_instruction_file_versions     | table | nukhba_user
 public | v4_lab_completions               | table | nukhba_user
 public | v4_lab_questions                 | table | nukhba_user
 public | v4_lab_scenarios                 | table | nukhba_user
 public | v4_lesson_common_mistakes        | table | nukhba_user
 public | v4_lesson_concepts               | table | nukhba_user
 public | v4_lesson_content_cache          | table | nukhba_user
 public | v4_lessons                       | table | nukhba_user
 public | v4_levels                        | table | nukhba_user
 public | v4_placement_sessions            | table | nukhba_user
 public | v4_placement_test_questions      | table | nukhba_user
 public | v4_specialties                   | table | nukhba_user
 public | v4_stages                        | table | nukhba_user
 public | v4_student_booklets              | table | nukhba_user
 public | v4_student_memory_summaries      | table | nukhba_user
 public | v4_student_paths                 | table | nukhba_user
 public | v4_student_profile               | table | nukhba_user
 public | v4_testout_pools                 | table | nukhba_user
 public | v4_testout_sessions              | table | nukhba_user
 public | v4_units                         | table | nukhba_user
 public | v4_weakness_tracker              | table | nukhba_user
(79 rows)

root@vmi3256829:~/nukhba/Attached-Assets#
